NO;ITEM;RESTO;VENDOR UTAMA;LEAD TIME;LOKASI;VENDOR ALTERNATIF 1;LEAD TIME2;LOKASI3;VENDOR ALTERNATIF 2;LEAD TIME4;LOKASI5
;;;;;;;;;;;
68;DAGING AYAM;PALOPO;TUUK HOUSE MEATS;1;PALOPO;Vendor Daging Ayam Palopo;1;PALOPO;Vendor Daging Ayam Palopo;1;PALOPO
;;BONE;JAPFA;3;Makassar;Ayam Jaku Bone;1;BONE;INDO GUNA MKS;7;MAKASSAR
;;PARE;JAPFA;3;Makassar;Vendor Daging Ayam Pare;1;PARE;Vendor Daging Ayam Pare;1;PARE
;;PINRANG;JAPFA;3;Makassar;Vendor Daging Ayam Pinrang;1;PINRANG;Vendor Daging Ayam Pinrang;1;PINRANG
;;MAKASSAR;JAPFA;2;Makassar;INDOGUNA;2;MAKASSAR;AYAM JI;2;MAKASSAR
;;;;;;;;;;;
69;DAGING BEEF SAIKORO;PALOPO;MEAT N FRESH;1;PALOPO;;;;;;
;;BONE;MEAT N FRESH;1;BONE;;;;;;
;;PARE;MEAT N FRESH;1;PARE;;;;;;
;;PINRANG;MEAT N FRESH;1;PINRANG;;;;;;
;;MAKASSAR;MEAT N FRESH;1;MAKASSAR;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
70;DAGING UDANG;BONE;CRABS'TA;7;BONE;Meat n Fresh;1;BONE;VENDOR UDANG BOLDO;1;PINRANG
;;PARE;Meat n Fresh;1;PARE;Meat n Fresh;1;PARE;VENDOR UDANG BOLDO;1;PINRANG
;;PINRANG;Meat n Fresh;1;PINRANG;Meat n Fresh;1;PINRANG;VENDOR UDANG BOLDO;1;PINRANG
;;MAKASSAR;BOGATAMA MARINUSA;1;MAKASSAR;Meat n Fresh;1;MAKASSAR;MEGA FROZEN FOOD;1;MAKASSAR
;;;;;;;;;;;
71;DAGING SAPI;PARE;Vendor Daging Sapi;1;PARE;Meat n Fresh;1;PARE;Vendor Daging Sapi 2;1;PARE
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
72;DARK COCOA DRINK NPRO;PALOPO;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;BONE;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;PARE;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;PINRANG;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;MAKASSAR;CV JAYA MANDIRI;2;MAKASSAR;;;;;;
;;;;;;;;;;;
73;DAUN BAWANG;PALOPO;Vendor Sayur Palopo;1;PALOPO;Vendor Sayur Palopo 1;1;PALOPO;Vendor Sayur Palopo 2;1;PALOPO
;;BONE;Vendor Sayur Bone;1;BONE;Vendor Sayur Bone 1;1;BONE;Vendor Sayur Bone 2;1;BONE
;;PARE;Vendor Sayur Pare;1;PARE;Vendor Sayur Pare 1;1;PARE;Vendor Sayur Pare 2;1;PARE
;;PINRANG;Vendor Sayur Pinrang;1;PINRANG;Vendor Sayur Pinrang 1;1;PINRANG;Vendor Sayur Pinrang 2;1;PINRANG
;;MAKASSAR;TOKO AULIA;1;MAKASSAR;TOKO ALIP;1;MAKASSAR;TOKO BERKAH BERSAMA;1;MAKASSAR
;;;;;;;;;;;
74;DOCELLO DESSERT BASE;PALOPO;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;BONE;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;PARE;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;PINRANG;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;MAKASSAR;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;;;;;;;;;;
75;ES KRIM AICE COKLAT;PALOPO;AICE;1;PALOPO;;;;;;
;;BONE;AICE;1;BONE;;;;;;
;;PARE;AICE;1;PARE;;;;;;
;;PINRANG;AICE;1;PINRANG;;;;;;
;;MAKASSAR;AICE;1;MAKASSAR;;;;;;
;;;;;;;;;;;
76;ES KRIM AICE VANILLA;PALOPO;AICE;1;PALOPO;;;;;;
;;BONE;AICE;1;BONE;;;;;;
;;PARE;AICE;1;PARE;;;;;;
;;PINRANG;AICE;1;PINRANG;;;;;;
;;MAKASSAR;AICE;1;MAKASSAR;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
77;ES KRISTAL;BONE;VENDOR ES KRISTAL;1;BONE;ABADI ES KRISTAL;1;BONE;;;
;;PARE;GALAXY;1;PARE;ES KRISTAL ATIKA;1;PARE;;;
;;PINRANG;BUANA ICE CRYSTAL;1;PINRANG;M90 ICE CRYSTAL PINRANG;1;PINRANG;;;
;;MAKASSAR;PT YOGYA KRISTAL SEJATI;1;MAKASSAR;ATLAS;1;MAKASSAR;MURAH;1;MAKASSAR
;;;;;;;;;;;
78;FRUCTOSE;PALOPO;PELITA TERANG MAKMUR;2;PALOPO;DAPUR MARKET;1;PALOPO;TOKO CEMERLANG;1;PALOPO
;;BONE;PELITA TERANG MAKMUR;2;BONE;SWALAYAN ORIENTAL;1;BONE;BENTENG MART;3;MAKASSAR
;;PARE;PELITA TERANG MAKMUR;2;PARE;TOKO MANIS;1;PARE;BENTENG MART;3;MAKASSAR
;;PINRANG;PELITA TERANG MAKMUR;2;PINRANG;TOKO AKBAR;1;PINRANG;BENTENG MART;3;MAKASSAR
;;MAKASSAR;PELITA TERANG MAKMUR;2;MAKASSAR;TOKO SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
;;;;;;;;;;;
79;GARAM HALUS;PALOPO;SINAR GOWA ;2;PALOPO;DAPUR MARKET;1;PALOPO;ALFAMIDI;1;PALOPO
;;BONE;SINAR GOWA ;2;BONE;SWALAYAN ORIENTAL;1;BONE;ALFAMIDI;1;BONE
;;PARE;SINAR GOWA ;2;PARE;TOKO MANIS;1;PARE;ALFAMIDI;1;PARE
;;PINRANG;SINAR GOWA ;2;PINRANG;TOKO AKBAR;1;PINRANG;ALFAMIDI;1;PINRANG
;;MAKASSAR;SINAR GOWA ;2;MAKASSAR;TOKO SATU SAMA;1;MAKASSAR;ALFAMIDI;1;MAKASSAR
;;;;;;;;;;;
80;GARLIC POWDER;PALOPO;PRODUKSI TMB;1;PALOPO;;;;;;
;;BONE;PRODUKSI TMB;6;PALOPO;;;;;;
;;PARE;PRODUKSI TMB;6;PALOPO;;;;;;
;;PINRANG;PRODUKSI TMB;6;PALOPO;;;;;;
;;MAKASSAR;PRODUKSI TMB;6;PALOPO;;;;;;
81;GOLDENFILL STRAWBERRY JAM;PALOPO;WIRA EKA;2;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO ;1;PALOPO
;;BONE;WIRA EKA;6;PALOPO;SWALAYAN ORIENTAL;1;BONE;DAPUR MARKET;1;PALOPO
;;PARE;WIRA EKA;6;PALOPO;TOKO SYAHRANI;1;PARE;DAPUR MARKET;1;PALOPO
;;PINRANG;WIRA EKA;6;PALOPO;TOKO H HAMSI;1;PINRANG;DAPUR MARKET;1;PALOPO
;;MAKASSAR;WIRA EKA;6;PALOPO;TOP MODE;1;MAKASSAR;BENTENG MART ;3;MAKASSAR
82;GOODTIME COOKIES;PALOPO;TOKO RAHAYU;1;PALOPO;TOKO HIMALAYA;1;PALOPO;;;
;;;;;;;;;;;
83;GULA AREN;PALOPO;TUUK FLAVOUR ESSENTIALS;1;PALOPO;;;;;;
;;BONE;TUUK FLAVOUR ESSENTIALS;6;PALOPO;;;;;;
;;PARE;TUUK FLAVOUR ESSENTIALS;6;PALOPO;;;;;;
;;PINRANG;TUUK FLAVOUR ESSENTIALS;6;PALOPO;;;;;;
;;MAKASSAR;TUUK FLAVOUR ESSENTIALS;6;MAKASSAR;;;;;;
84;GULA PASIR;PALOPO;ALFAMIDI;1;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO ;1;PALOPO
;;BONE;ALFAMIDI;1;BONE;SWALAYAN ORIENTAL;1;BONE;DAPUR MARKET;1;PALOPO
;;PARE;ALFAMIDI;1;PARE;TOKO SYAHRANI;1;PARE;DAPUR MARKET;1;PALOPO
;;PINRANG;ALFAMIDI;1;PINRANG;TOKO H HAMSI;1;PINRANG;DAPUR MARKET;1;PALOPO
;;MAKASSAR;ALFAMIDI;1;MAKASSAR;TOP MODE;1;MAKASSAR;BENTENG MART ;3;MAKASSAR
85;HAAN WHIPPY CREAM;PALOPO;ANEKA JAYA BOGA;2;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO ;1;PALOPO
;;BONE;ANEKA JAYA BOGA;6;PALOPO;SWALAYAN ORIENTAL;1;BONE;DAPUR MARKET;1;PALOPO
;;PARE;ANEKA JAYA BOGA;6;PALOPO;TOKO SYAHRANI;1;PARE;DAPUR MARKET;1;PALOPO
;;PINRANG;ANEKA JAYA BOGA;6;PALOPO;TOKO H HAMSI;1;PINRANG;DAPUR MARKET;1;PALOPO
;;MAKASSAR;ANEKA JAYA BOGA;2;MAKASSAR;TOP MODE;1;MAKASSAR;BENTENG MART ;3;MAKASSAR
86;HANDWASH;PALOPO;TOKO SEJAHTERA PALOPO;1;PALOPO;SWALAYAN ORIENTAL;1;BONE;BENTENG MART ;3;MAKASSAR
;;BONE;SWALAYAN ORIENTAL;1;BONE;TOP MODE;1;MAKASSAR;BENTENG MART ;3;MAKASSAR
;;PARE;TOKO SEJAHTERA PARE;1;PALOPO;SWALAYAN ORIENTAL;1;BONE;BENTENG MART ;3;MAKASSAR
;;PINRANG;TOKO SEJAHTERA PINRANG;1;PALOPO;SWALAYAN ORIENTAL;1;BONE;BENTENG MART ;3;MAKASSAR
;;MAKASSAR;TOKO SATU SEMESTA;1;MAKASSAR;BENTENG MART;1;MAKASSAR;TOKO SEJAHTERA MAKASSAR;1;MAKASSAR
87;IKAN DORI FILLET;PALOPO;MEAT N FRESH;1;PALOPO;WJM;3;MAKASSAR;TOKO MAY;3;MAKASSAR
;;BONE;MEAT N FRESH;1;BONE;WJM;3;MAKASSAR;TOKO MAY;3;MAKASSAR
;;PARE;MEAT N FRESH;1;PARE;WJM;3;MAKASSAR;TOKO MAY;3;MAKASSAR
;;PINRANG;MEAT N FRESH;1;PINRANG;WJM;3;MAKASSAR;TOKO MAY;3;MAKASSAR
;;MAKASSAR;MEAT N FRESH;1;MAKASSAR;WJM;3;MAKASSAR;TOKO MAY;3;MAKASSAR
88;ISIAN PANGSIT PACK;PALOPO;TUUK HOUSE MEATS;1;PALOPO;;;;;;
;;;;;;;;;;;
89;JAHE;PALOPO;VENDOR SAYUR MA KEMBAR;1;PALOPO;VENDOR CABE PALOPO;1;PALOPO;VENDOR SAYUR 1 PALOPO;1;PALOPO
;;BONE;VENDOR SAYUR;1;BONE;TOKO 89 ;1;BONE;VENDOR SAYUR 1 BONE;1;BONE
;;PARE;TOKO SAYUR Hj. IDA;1;PARE;VENDOR SAYUR 1 PARE;1;PARE;VENDOR SAYUR 2 PARE;1;PARE
;;PINRANG;LAMBADA PINRANG;1;PINRANG;VENDOR SAYUR 1 PINRANG;1;PINRANG;VENDOR SAYUR 2 PINRANG;1;PINRANG
;;MAKASSAR;TOKO AULIA;1;MAKASSAR;TOKO ALIP;1;MAKASSAR;TOKO BERKAH BERSAMA;1;MAKASSAR
90;JAMUR SHITAKE;PALOPO;MEAT N FRESH;1;PALOPO;WJM;3;MAKASSAR;;;
;;BONE;MEAT N FRESH;1;BONE;WJM;3;MAKASSAR;;;
;;PARE;MEAT N FRESH;1;PARE;WJM;3;MAKASSAR;;;
;;PINRANG;MEAT N FRESH;1;PINRANG;WJM;3;MAKASSAR;;;
;;MAKASSAR;MEAT N FRESH;1;MAKASSAR;WJM;3;MAKASSAR;KUSUKA FROZEN MART;1;MAKASSAR
91;KALDU AYAM BLOK;PALOPO;INDOFOOD;3;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO ;1;PALOPO
;;BONE;INDOFOOD;3;BONE;SWALAYAN ORIENTAL;1;BONE;JAPFA;1;BONE
;;PARE;INDOFOOD;3;PARE;CAHAYA UJUNG PARE;1;PARE;BENTENG MART;1;MAKASSAR
;;PINRANG;INDOFOOD;3;PINRANG;SEJAHTERA;1;PINRANG;BENTENG MART;1;MAKASSAR
;;MAKASSAR;INDOFOOD;1;MAKASSAR;SATUSAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
92;KANTONG CUP 1;PALOPO;ABADI JAYA;1;PALOPO;MAKASSAR PLASTIK;3;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR
;;BONE;GUDANG PACK;1;BONE;MAKASSAR PLASTIK;3;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR
;;PARE;TOKO PLASTIK 27;1;PARE;MAKASSAR PLASTIK;3;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR
;;PINRANG;HIBA PLASTIK;1;PINRANG;MAKASSAR PLASTIK;3;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;RAJA PLASTIK;1;MAKASSAR
93;KANTONG CUP 2;PALOPO;ABADI JAYA;1;PALOPO;MAKASSAR PLASTIK;3;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR
;;BONE;GUDANG PACK;1;BONE;MAKASSAR PLASTIK;3;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR
;;PARE;TOKO PLASTIK 27;1;PARE;MAKASSAR PLASTIK;3;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR
;;PINRANG;HIBA PLASTIK;1;PINRANG;MAKASSAR PLASTIK;3;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;RAJA PLASTIK;1;MAKASSAR
94;KANTONG GRAB;PALOPO;ABADI JAYA;1;PALOPO;;;;;;
;;;;;;;;;;;
95;KANTONG TAKEAWAY;PALOPO;SUMBER PLASTIK;3;MAKASSAR;ABADI JAYA;1;PALOPO;MAKASSAR PLASTIK;3;MAKASSAR
;;BONE;SUMBER PLASTIK;3;MAKASSAR;GUDANG PACK;1;BONE;MAKASSAR PLASTIK;3;MAKASSAR
;;PARE;SUMBER PLASTIK;3;MAKASSAR;HIBA PLASTIK;1;PINRANG;MAKASSAR PLASTIK;3;MAKASSAR
;;PINRANG;SUMBER PLASTIK;3;MAKASSAR;HIBA PLASTIK;1;PINRANG;MAKASSAR PLASTIK;3;MAKASSAR
;;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;;;
96;KANTONG TRASHBAG;PALOPO;MAKASSAR PLASTIK;3;MAKASSAR;ABADI JAYA;1;PALOPO;DP INDO;1;PALOPO
;;BONE;MAKASSAR PLASTIK;3;MAKASSAR;HIBAH PLASTIK;1;BONE;TOKO SURYA PLASTIK;1;BONE
;;PARE;MAKASSAR PLASTIK;3;MAKASSAR;TOKO PLASTIK 27;1;PARE;TOKO RIFQY;1;PARE
;;PINRANG;MAKASSAR PLASTIK;3;MAKASSAR;HIBAH PLASTIK;1;PINRANG;TOKO NEW GEMBIRA PLASTIK;1;PINRANG
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;RAJA PLASTIK;1;MAKASSAR
97;KANTONGAN PLASTIK;PALOPO;ABADI JAYA;1;PALOPO;SUMBER PLASTIK;3;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR
;;;;;;;;;;;
98;KATSUBA PACK;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO
;;;;;;;;;;;
99;KAYU MANIS;PALOPO;VENDOR CABE PALOPO;1;PALOPO;SAYUR MA KEMBAR ;1;PALOPO;VENDOR SAYUR 1;1;PALOPO
;;BONE;VENDOR SAYUR BONE;1; BONE;VENDOR SAYUR 1;1;BONE;VENDOR SAYUR 2;1;BONE
;;PARE;VENDOR SAYUR PARE;1;PARE;VENDOR SAYUR PARE 1;1;PARE;VENDOR SAYUR PARE 2;1;PARE
;;PINRANG;VENDOR SAYUR PINRANG;1;PINRANG;VENDOR SAYUR PINRANG 1;1;PINRANG;VENDOR SAYUR PINRANG 2;1;PINRANG
;;MAKASSAR;TOKO STAND PRESS 07;1;MAKASSAR;TOKO ROS;1;MAKASSAR;TOKO AULIA;1;MAKASSAR
100;KECAP ASIN;PALOPO;TUUK FLAVOUR ESSENTIALS;1;PALOPO;TUUK FLAVOUR ESSENTIALS;1;PALOPO;TUUK FLAVOUR ESSENTIALS;1;PALOPO
;;BONE;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
;;PARE;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
;;PINRANG;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
;;MAKASSAR;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
101;KECAP ASIN BUBUR;PALOPO;PRODUKSI TMB;1;PALOPO;PRODUKSI TMB;1;PALOPO;PRODUKSI TMB;1;PALOPO
;;BONE;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO
;;PARE;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO
;;PINRANG;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO
;;MAKASSAR;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO
102;KECAP MANIS;PALOPO;PT. INTISARI PERKASA;1;PALOPO;DP INDO;1;PALOPO;DAPUR INDO;1;PALOPO
;;BONE;PT. INTISARI PERKASA;1;BONE;SWALAYAN ORIENTAL;1;BONE;ALFAMIDI;1;BONE
;;PARE;PT. INTISARI PERKASA;1;PARE;TOKO SYAHRANI;1;PARE;ALFAMIDI;1;PARE
;;PINRANG;PT. INTISARI PERKASA;1;PINRANG;TOKO AKBAR;1;PINRANG;SEJAHTERA;1;PINRANG
;;MAKASSAR;PT. INTISARI PERKASA;1;MAKASSAR;TOKO STAND PRESS 07;1;MAKASSAR;TOKO CAHAYA MAROS;1;MAKASSAR
;;;;;;;;;;;
103;KEJU MEG BLOK;PALOPO;WIRA EKA PERSADATAMA;1;PALOPO;SATU SAMA;3;MAKASSAR;BENTENG MART ;3;MAKASSAR
;;BONE;WIRA EKA PERSADATAMA;3;PALOPO;SATU SAMA;3;MAKASSAR;BENTENG MART ;3;MAKASSAR
;;PARE;WIRA EKA PERSADATAMA;3;PALOPO;SATU SAMA;3;MAKASSAR;BENTENG MART ;3;MAKASSAR
;;PINRANG;WIRA EKA PERSADATAMA;3;PALOPO;SATU SAMA;3;MAKASSAR;BENTENG MART ;3;MAKASSAR
;;MAKASSAR;SATU SAMA;1;MAKASSAR;TOP MODE;1;MAKASSAR;BENTENG MART ;3;MAKASSAR
104;KEJU MEG SLICE MELT;BONE;WIRA EKA PERSADATAMA;3;PALOPO;SURYA NASIONAL;1;BONE;ALFAMIDI;1;BONE
;;PARE;WIRA EKA PERSADATAMA;3;PALOPO;SURYA NASIONAL;1;PARE;ALFAMIDI;1;PARE
;;PINRANG;WIRA EKA PERSADATAMA;3;PALOPO;SURYA NASIONAL;1;PINRANG;ALFAMIDI;1;PINRANG
;;MAKASSAR;SATU SAMA;1;MAKASSAR;TOP MODE;1;MAKASSAR;BENTENG MART ;3;MAKASSAR
105;KEJU MELTED;PALOPO;CV SURYA CEMERLANG;3;MAKASSAR;WJM SHOP;3;MAKASSAR;SATU SAMA;3;MAKASSAR
;;BONE;CV SURYA CEMERLANG;3;MAKASSAR;WJM SHOP;3;MAKASSAR;SATU SAMA;3;MAKASSAR
;;PARE;CV SURYA CEMERLANG;3;MAKASSAR;WJM SHOP;3;MAKASSAR;SATU SAMA;3;MAKASSAR
;;PINRANG;CV SURYA CEMERLANG;3;MAKASSAR;WJM SHOP;3;MAKASSAR;SATU SAMA;3;MAKASSAR
;;MAKASSAR;CV SURYA CEMERLANG;3;MAKASSAR;WJM SHOP;3;MAKASSAR;SATU SAMA;3;MAKASSAR
106;KERTAS DIMSUM;PALOPO;MAKASSAR PLASTIK;3;MAKASSAR;HIBAH PLASTIK;1;PALOPO;SUMBER PLASTIK;3;MAKASSAR
;;BONE;GUDANG PACK;1;BONE;PLASTIC RAYS 2;1;BONE;TOKO SURYA PLASTIK;1;BONE
;;PARE;HIBAH PLASTIK;1;PINRANG;TOKO PLASTIK 27;1;PARE;TOKO RIFQY;1;PARE
;;PINRANG;HIBAH PLASTIK;1;PINRANG;TOKO NEW GEMBIRA PLASTIK;1;PINRANG;SAHABAT FROZEN & ANEKA PLASTIK;1;PINRANG
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;RAJA PLASTIK;1;MAKASSAR
107;KERTAS NASI COKLAT;BONE;GUDANG PACK;1;BONE;SWALAYAN ORIENTAL;1;BONE;PLASTIC RAYS 2;1;BONE
;;PARE;TOKO SINAR TENGGARA;1;PARE;TOKO RIFQY;1;PARE;ABLAM JAYA ;1;PARE
;;PINRANG;HIBAH PLASTIK;1;PINRANG;TOKO NN PLASTIK;1;PINRANG;TOKO TIJAROH PLASTIK;1;PINRANG
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;RAJA PLASTIK;1;MAKASSAR
108;KERTAS ROTI;PALOPO;ABADI JAYA;1;PALOPO;;1;PALOPO;;1;PALOPO
109;KULIT DIMSUM;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO
;;BONE;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;PARE;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
110;KULIT PANGSIT;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO
;;BONE;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;PARE;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
111;KULIT XIAOBA;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO
;;BONE;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;PARE;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
112;KUOTIE MINI;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO
;;BONE;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;PARE;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
113;KUOTIE PACK;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO;TUUK HOUSE MEATS;1;PALOPO
;;BONE;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;PARE;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO;TUUK HOUSE MEATS;6;PALOPO
114;LABEL;PALOPO;TOKO DEVIN;1;PALOPO;TOKO ASTIKA ;1;PALOPO;DEINRA ATK ;1;PALOPO
;;;;;;;;;;;
115;LADA BUBUK;PALOPO;PELITA TERANG MAKMUR;1;PALOPO;DP INDO;1;PALOPO;DAPUR MARKET;1;PALOPO
;;PARE;PELITA TERANG MAKMUR;6;PALOPO;DP INDO;1;PALOPO;DAPUR MARKET;1;PALOPO
;;;;;;;;;;;
116;MADU TJ;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO ;1;PALOPO;TOKO CEMERLANG;1;PALOPO
;;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE;DAPUR MARKET;6;PALOPO
;;PARE;TOKO MANIS PARE;1;PARE;TOKO SINAR TENGGARA;1;PARE;DAPUR MARKET;6;PALOPO
;;PINRANG;TOKO HJ HAMSI;1;PINRANG;TOKO AKBAR;1;PINRANG;DAPUR MARKET;6;PALOPO
;;MAKASSAR;SATUSAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR;TOP MODE;1;MAKASSAR
117;MANGKOK SAMBEL;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO;TOKO CEMERLANG;1;PALOPO
;;BONE;SWALAYAN ORIENTAL;1;BONE;GUDANG PACK BONE;1;BONE;PLASTIC RAYS 2;1;BONE
;;PARE;TOKO RIFQY;1;PARE;ABLAM JAYA PLASTIK;1;PARE;PLASTIK 27 PARE;1;PARE
;;PINRANG;HIBAH PLASTIK;1;PINRANG;TOKO NN PLASTIK;1;PINRANG;TOKO ANNUR PLASTIK;1;PINRANG
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;RAJA PLASTIK;1;MAKASSAR
117;MAX CREAMER;PALOPO;ANEKA JAYA BOGA;2;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO ;1;PALOPO
