NO;ITEM;RESTO;VENDOR UTAMA;LEAD TIME;LOKASI;VENDOR ALTERNATIF 1;LEAD TIME2;LOKASI3;VENDOR ALTERNATIF 2;LEAD TIME4;LOKASI5
;;BONE;SWALAYAN ORIENTAL;1;BONE;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO
;;PARE;TOKO SYAHRANI;1;PARE;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO
;;PINRANG;TOKO H. HAMSI;1;PINRANG;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO
;;MAKASSAR;TOKO CAHAYA BARU;1;MAKASSAR;TOKO SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
;;;;;;;;;;;
17;BOBA IPIN;TUUK TEA;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO;SURYA NASIONAL;2;BONE
18;BOX DIMSUM;PALOPO;GUNA MULTI PACKINDO;15;MAKASSAR;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO
;;BONE;GUNA MULTI PACKINDO;15;MAKASSAR;GUDANG PACK;1;BONE;SWALAYAN ORIENTAL;1;BONE
;;PARE;GUNA MULTI PACKINDO;15;MAKASSAR;TOKO PLASTIK DAN KEMASAN;1;PARE;;;
;;PINRANG;GUNA MULTI PACKINDO;15;MAKASSAR;HIBA PLASTIK;1;PINRANG;;;
;;MAKASSAR;GUNA MULTI PACKINDO;10;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR
;;;;;;;;;;;
20;BOX MIE CUSTOM;PALOPO;GUNA MULTI PACKINDO;15;MAKASSAR;ABADI JAYA;1;PALOPO;SUMBER PLASTIK;1;MAKASSAR
;;BONE;GUNA MULTI PACKINDO;15;MAKASSAR;GUDANG PACK;1;BONE;SUMBER PLASTIK;1;MAKASSAR
;;PARE;GUNA MULTI PACKINDO;15;MAKASSAR;TOKO PLASTIK DAN KEMASAN;1;PARE;SUMBER PLASTIK;1;MAKASSAR
;;PINRANG;GUNA MULTI PACKINDO;15;MAKASSAR;HIBA PLASTIK;1;PINRANG;SUMBER PLASTIK;1;MAKASSAR
;;MAKASSAR;GUNA MULTI PACKINDO;10;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR
;;;;;;;;;;;
21;BOX MIE KARUMI;PALOPO;HIBA PLASTIK;2;PINRANG;SWALAYAN ORIENTAL;2;BONE;;;
;;BONE;HIBA PLASTIK;2;PINRANG;SWALAYAN ORIENTAL;2;BONE;;;
;;PARE;HIBA PLASTIK;2;PINRANG;SWALAYAN ORIENTAL;2;BONE;;;
;;PINRANG;HIBA PLASTIK;1;PINRANG;SWALAYAN ORIENTAL;2;BONE;;;
;;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;RAJA PLASTIK;1;MAKASSAR
;;;;;;;;;;;
23;BUAH LECI;PALOPO;SURYA NASIONAL;2;BONE;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO
;;BONE;SURYA NASIONAL;2;BONE;SWALAYAN ORIENTAL;1;BONE;DAPUR MARKET;1;PALOPO
;;PARE;SURYA NASIONAL;2;PARE;DAPUR MARKET;2;PALOPO;DP INDO MARKET;2;PALOPO
;;PINRANG;SURYA NASIONAL;2;PINRANG;DAPUR MARKET;2;PALOPO;DP INDO MARKET;2;PALOPO
;;MAKASSAR;SURYA NASIONAL;1;MAKASSAR;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
;;;;;;;;;;;
24;BUAH LEMON;PALOPO;TOKO LUCKY BUAH;1;PALOPO;SWALAYAN ORIENTAL;1;BONE;;;
;;BONE;TOKO LUCKY BUAH;2;PALOPO;SWALAYAN ORIENTAL;1;BONE;DAPUR INDO FROZEN;1;BONE
;;PARE;TOKO BUAH FRUIT FOOD;1;PARE;TOKO LUCKY BUAH;1;PALOPO;SWALAYAN ORIENTAL;1;BONE
;;PINRANG;TOKO BUAH FRUIT FOOD;1;PINRANG;TOKO LUCKY BUAH;1;PALOPO;SWALAYAN ORIENTAL;1;BONE
;;MAKASSAR ;MAKASSAR BUAH;1;MAKASSAR ;MAKASSAR FRUIT;1;MAKASSAR ;PESTA BUAH;1;MAKASSAR 
;;;;;;;;;;;
25;BUBUK GREENTEA;PALOPO;TOKO BATU TAMBUNG;3;MAKASSAR;PT. SINAR ANUGERAH REJEKI BERSAMA;4;BONE;DAPUR MARKET;1;PALOPO
;;BONE;TOKO BATU TAMBUNG;3;MAKASSAR;PT. SINAR ANUGERAH REJEKI BERSAMA;4;BONE;SWALAYAN ORIENTAL;1;BONE
;;PARE;TOKO BATU TAMBUNG;3;MAKASSAR;PT. SINAR ANUGERAH REJEKI BERSAMA;4;BONE;TOKO SYAHRANI;1;PARE
;;PINRANG;TOKO BATU TAMBUNG;3;MAKASSAR;PT. SINAR ANUGERAH REJEKI BERSAMA;4;BONE;TOKO H. HAMSI;1;PINRANG
;;MAKASSAR;TOKO BATU TAMBUNG;1;MAKASSAR;PT. SINAR ANUGERAH REJEKI BERSAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
;;;;;;;;;;;
26;BUBUK MILO;PALOPO;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;BONE;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;PARE;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;PINRANG;CV JAYA MANDIRI;3;MAKASSAR;;;;;;
;;MAKASSAR;CV JAYA MANDIRI;2;MAKASSAR;;;;;;
;;;;;;;;;;;
27;BUBUK OVAL;PALOPO;TOKO BATU TAMBUNG;3;MAKASSAR;TOKO NGEMIL;1;PALOPO;TOKO ANDI MASNI;1;PALOPO
;;BONE;TOKO BATU TAMBUNG;3;MAKASSAR;TOKO NGEMIL;1;PALOPO;TOKO ANDI MASNI;1;PALOPO
;;PARE;TOKO BATU TAMBUNG;3;MAKASSAR;TOKO SYAHRANI;1;PARE;TOKO NGEMIL;1;PALOPO
;;PINRANG;TOKO BATU TAMBUNG;3;MAKASSAR;TOKO MITRA MANIS PINRANG;1;PINRANG;TOKO NGEMIL;1;PALOPO
;;MAKASSAR;TOKO BATU TAMBUNG;1;MAKASSAR;;;;;;
;;;;;;;;;;;
28;BUBUK TEH JASMINE;PALOPO;SINAR GOWA SUKSES;2;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO
;;BONE;SINAR GOWA SUKSES;2;BONE;SWALAYAN ORIENTAL;1;BONE;BENTENG MART;3;MAKASSAR
;;PARE;SINAR GOWA SUKSES;2;PARE;TOKO SYAHRANI;1;PARE;BENTENG MART;3;MAKASSAR
;;PINRANG;SINAR GOWA SUKSES;2;PINRANG;TOKO H HAMSI;1;PINRANG;TOKO MITRA MANIS PINRANG;1;PINRANG
;;MAKASSAR;SINAR GOWA SUKSES;2;MAKASSAR;TOKO SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
;;;;;;;;;;;
29;BUBUK TEH TONG TJI;PALOPO;CELEBES SEJAHTERA TONGJI;2;PALOPO;DAPUR MARKET;1;PALOPO;TOKO SEJAHTERA OPSAL;1;PALOPO
;;BONE;CELEBES SEJAHTERA TONGJI;2;BONE;SWALAYAN ORIENTAL;1;BONE;BENTENG MART;3;MAKASSAR
;;PARE;CELEBES SEJAHTERA TONGJI;2;PARE;TOKO SYAHRANI;1;PARE;BENTENG MART;3;MAKASSAR
;;PINRANG;CELEBES SEJAHTERA TONGJI;2;PINRANG;TOKO H HAMSI;1;PINRANG;TOKO MITRA MANIS PINRANG;1;PINRANG
;;MAKASSAR;CELEBES SEJAHTERA TONGJI;1;MAKASSAR;TOKO SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
;;;;;;;;;;;
30;BUBUK THAITEA;PALOPO;TOKO BATU TAMBUNG;3;MAKASSAR;PT. SINAR ANUGERAH REJEKI BERSAMA;4;BONE;DAPUR MARKET;1;PALOPO
;;BONE;TOKO BATU TAMBUNG;3;MAKASSAR;PT. SINAR ANUGERAH REJEKI BERSAMA;4;BONE;SWALAYAN ORIENTAL;1;BONE
;;PARE;TOKO BATU TAMBUNG;3;MAKASSAR;PT. SINAR ANUGERAH REJEKI BERSAMA;4;BONE;TOKO SYAHRANI;1;PARE
;;PINRANG;TOKO BATU TAMBUNG;3;MAKASSAR;PT. SINAR ANUGERAH REJEKI BERSAMA;4;BONE;TOKO H HAMSI;1;PINRANG
;;MAKASSAR;TOKO BATU TAMBUNG;3;MAKASSAR;PT. SINAR ANUGERAH REJEKI BERSAMA;4;BONE;SATUSAMA;1;MAKASSAR
32;BUMBU BASAH AYAM GUNTING;PALOPO;PRODUKSI TMB;1;PALOPO;;;;;;
;;BONE;PRODUKSI TMB;1;PALOPO;;;;;;
;;PARE;PRODUKSI TMB;1;PALOPO;;;;;;
;;PINRANG;PRODUKSI TMB;1;PALOPO;;;;;;
;;MAKASSAR;PRODUKSI TMB;1;PALOPO;;;;;;
33;BUMBU BASAH AYAM TABUR;BONE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;;;;;;
34;BUMBU BASAH BUBUR;PALOPO;PRODUKSI TMB;1;PALOPO;;;;;;
;;BONE;PRODUKSI TMB;6;PALOPO;;;;;;
;;PARE;PRODUKSI TMB;6;PALOPO;;;;;;
;;PINRANG;PRODUKSI TMB;6;PALOPO;;;;;;
;;MAKASSAR;PRODUKSI TMB;6;PALOPO;;;;;;
35;BUMBU BASAH ISIAN PANGSIT;BONE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;;;;;;
36;BUMBU BASAH NAILAOBA/XIAOBA;BONE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;;;;;;
37;BUMBU BASAH SHUMAI/KUOTIE;BONE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
